## prominence	m	log(prominece)	log(m)
500	38581	6.214608098422191	10.560515206289688
1000	13835	6.907755278982137	9.534956892221027
1500	7885	7.313220387090301	8.972717499397138
2000	5557	7.600902459542082	8.622813673279921
2500	4211	7.824046010856292	8.345455428161928
3000	3263	8.006367567650246	8.09040229659332
3500	2598	8.160518247477505	7.862497197230545
4000	2064	8.294049640102028	7.6324011266014535
4500	1658	8.411832675758411	7.4133673356952405
5000	1337	8.517193191416238	7.198183577101943
