## ROI	Slice	EdU	FociPerCell	FociPerCellNoise	Condition
1	1	6888.768463597711	17	17.5	Ctrl_Etoposide
2	1	14645.630352528608	2	1.5	Ctrl_Etoposide
3	1	10912.48024256651	3	2.5	Ctrl_Etoposide
4	1	17224.970100296472	16	15.5	Ctrl_Etoposide
5	1	18706.68931111347	26	26.0	Ctrl_Etoposide
6	1	463.07400281210687	0	0.0	Ctrl_Etoposide
7	1	664.9754184100418	14	13.5	Ctrl_Etoposide
8	1	291.08353743297806	1	1.0	Ctrl_Etoposide
9	2	252.90162945081474	0	-0.5	Ctrl_Etoposide
10	2	259.068527201853	16	16.0	Ctrl_Etoposide
11	2	260.4953918475908	0	0.0	Ctrl_Etoposide
12	2	283.5092469368088	20	20.0	Ctrl_Etoposide
13	2	264.0317019628099	0	0.5	Ctrl_Etoposide
14	2	256.8254110421598	1	1.0	Ctrl_Etoposide
15	2	269.86772056259446	7	6.5	Ctrl_Etoposide
16	2	278.4177678204014	19	19.5	Ctrl_Etoposide
17	2	272.2447678536931	0	0.0	Ctrl_Etoposide
18	2	272.5403795090991	0	-0.5	Ctrl_Etoposide
19	2	269.4376056964842	46	46.0	Ctrl_Etoposide
20	3	319.4599816849817	21	21.0	Ctrl_Etoposide
21	3	259.7568875227687	0	0.0	Ctrl_Etoposide
22	3	270.8972102043861	2	1.5	Ctrl_Etoposide
23	3	7113.771304087822	25	25.0	Ctrl_Etoposide
24	3	267.50417120058034	30	30.0	Ctrl_Etoposide
25	3	262.2394823353169	12	12.0	Ctrl_Etoposide
26	3	259.7267321200511	10	10.0	Ctrl_Etoposide
27	4	278.0904175988069	0	0.5	Ctrl_Etoposide
28	4	14319.387662369734	17	17.0	Ctrl_Etoposide
29	4	384.2926193167	3	3.5	Ctrl_Etoposide
30	4	271.15935632808254	0	0.0	Ctrl_Etoposide
31	4	290.9629579467732	1	0.5	Ctrl_Etoposide
32	4	445.2146917044392	0	0.0	Ctrl_Etoposide
33	4	17452.349335302806	5	5.5	Ctrl_Etoposide
34	4	15581.891305362393	15	14.5	Ctrl_Etoposide
35	4	279.38732394366195	25	25.0	Ctrl_Etoposide
36	5	394.3851060007186	4	4.0	Ctrl_Etoposide
37	5	15341.517169290988	34	34.0	Ctrl_Etoposide
38	5	16640.171501294597	32	32.5	Ctrl_Etoposide
39	5	18884.5546692607	19	19.0	Ctrl_Etoposide
40	5	17350.879821837203	24	24.5	Ctrl_Etoposide
41	5	15248.451183731282	29	28.5	Ctrl_Etoposide
42	5	16365.50101637493	26	26.5	Ctrl_Etoposide
