## ROI	Slice	EdU	X	Y	Cy5	FociPerCell	Condition
1	1	262.0313958857026	815.0	179.0	5347	3	Ctrl_Etoposide
1	1	262.0313958857026	852.0	118.0	4242	3	Ctrl_Etoposide
1	1	262.0313958857026	860.0	212.0	4855	3	Ctrl_Etoposide
2	1	12955.713195361808	627.0	252.0	4724	22	Ctrl_Etoposide
2	1	12955.713195361808	628.0	267.0	8045	22	Ctrl_Etoposide
2	1	12955.713195361808	631.0	256.0	5207	22	Ctrl_Etoposide
2	1	12955.713195361808	639.0	172.0	4115	22	Ctrl_Etoposide
2	1	12955.713195361808	641.0	230.0	4355	22	Ctrl_Etoposide
2	1	12955.713195361808	652.0	222.0	4884	22	Ctrl_Etoposide
2	1	12955.713195361808	661.0	235.0	8152	22	Ctrl_Etoposide
2	1	12955.713195361808	667.0	236.0	4169	22	Ctrl_Etoposide
2	1	12955.713195361808	669.0	159.0	4950	22	Ctrl_Etoposide
2	1	12955.713195361808	679.0	224.0	4364	22	Ctrl_Etoposide
2	1	12955.713195361808	681.0	262.0	5894	22	Ctrl_Etoposide
2	1	12955.713195361808	685.0	227.0	4505	22	Ctrl_Etoposide
2	1	12955.713195361808	697.0	162.0	4751	22	Ctrl_Etoposide
2	1	12955.713195361808	704.0	154.0	6444	22	Ctrl_Etoposide
2	1	12955.713195361808	704.0	205.0	6202	22	Ctrl_Etoposide
2	1	12955.713195361808	709.0	167.0	4733	22	Ctrl_Etoposide
2	1	12955.713195361808	710.0	207.0	4974	22	Ctrl_Etoposide
2	1	12955.713195361808	716.0	166.0	4739	22	Ctrl_Etoposide
2	1	12955.713195361808	719.0	149.0	5606	22	Ctrl_Etoposide
2	1	12955.713195361808	726.0	176.0	4647	22	Ctrl_Etoposide
2	1	12955.713195361808	726.0	215.0	7000	22	Ctrl_Etoposide
2	1	12955.713195361808	751.0	164.0	5613	22	Ctrl_Etoposide
3	1	11622.683530394268	282.0	273.0	4329	19	Ctrl_Etoposide
3	1	11622.683530394268	286.0	250.0	4305	19	Ctrl_Etoposide
