 	ROI	Area/um^2	EdU_Mean	DAPI_Mean	Slice	MeanFocusIntensity	FociCount
1	1	19648	5.238	12217.404	1	4814.667	3
2	2	20553	267.362	11094.499	1	5366.955	22
3	3	22837	232.985	9465.203	1	5316.278	18
4	4	17719	228.990	12462.118	1	5955.364	22
5	5	19310	226.376	12153.372	1	5522.583	48
6	6	19533	305.311	12145.524	1	5767.613	31
7	7	16802	265.685	11982.639	1	6117.163	49
8	8	18506	279.834	13713.138	1	5843.750	16
9	9	18602	285.702	13415.502	1	5217.917	24
10	10	16047	278.147	14146.878	1	5812.474	19
11	11	17339	322.928	12663.431	1	6022.833	42
12	12	16475	4.159	11318.671	2	0.000	0
13	13	20584	222.740	10287.739	2	5932.355	31
14	14	25054	63.891	11679.026	2	5355.700	10
15	15	12947	4.373	14652.197	2	0.000	0
16	16	21962	4.455	13229.196	2	6018.200	10
17	17	24039	4.525	11224.965	2	7365.111	18
18	18	16487	4.451	12078.631	2	0.000	0
19	19	21208	4.526	14352.017	2	6378.939	33
20	20	13213	4.523	14909.256	2	0.000	0
21	21	15586	4.730	12410.550	2	0.000	0
22	22	14777	316.600	12769.486	2	5649.900	10
23	23	14639	5.049	14483.660	2	0.000	0
24	24	19550	127.691	8165.927	3	6246.683	41
25	25	17817	260.368	14521.779	3	5962.111	18
26	26	14569	254.866	12879.910	3	5850.765	17
27	27	16499	278.372	13173.792	3	5999.571	14
28	28	16682	6.109	11398.444	3	4162.000	1
29	29	14257	117.037	11649.814	3	7113.862	29
30	30	16784	5.459	16853.999	3	4405.250	4
31	31	15743	9.080	11673.245	3	0.000	0
32	32	16811	222.345	11909.278	3	5806.824	34
33	33	14308	7.017	14211.899	3	0.000	0
34	34	18421	325.244	12611.677	3	5511.500	8
35	35	16877	300.977	13237.194	3	5304.412	17
36	36	15262	5.831	10679.519	4	0.000	0
37	37	16599	6.907	11348.929	4	9682.000	1
38	38	14033	6.472	11465.609	4	0.000	0
39	39	17404	317.265	13785.018	4	5281.286	7
40	40	19268	40.731	15285.368	4	5823.304	23
41	41	18319	212.140	10156.788	4	5101.500	6
42	42	16701	271.440	15215.941	4	5710.833	18
43	43	18724	341.039	15161.181	4	5285.462	13
44	44	18996	248.601	11523.807	4	5033.500	8
45	45	14551	7.099	11892.878	4	0.000	0
46	46	11933	7.147	23939.193	4	0.000	0
47	47	13620	6.223	16024.274	4	0.000	0
48	48	14268	5.131	13060.788	4	0.000	0
49	49	19275	229.877	12680.266	5	4633.500	8
50	50	17541	224.701	9782.994	5	6046.933	45
51	51	11369	7.860	24681.381	5	0.000	0
52	52	16549	245.434	12359.428	5	5702.000	25
