## ROI	Slice	Cy5	X	Y	A488	FociPerCell	Condition
1	1	23528.449427949745	276.0	79.0	3958	16	Etoposide_B02
1	1	23528.449427949745	298.0	89.0	3488	16	Etoposide_B02
1	1	23528.449427949745	302.0	31.0	4530	16	Etoposide_B02
1	1	23528.449427949745	302.0	123.0	5138	16	Etoposide_B02
1	1	23528.449427949745	309.0	71.0	5038	16	Etoposide_B02
1	1	23528.449427949745	309.0	128.0	3401	16	Etoposide_B02
1	1	23528.449427949745	315.0	81.0	3423	16	Etoposide_B02
1	1	23528.449427949745	316.0	145.0	3731	16	Etoposide_B02
1	1	23528.449427949745	324.0	30.0	3305	16	Etoposide_B02
1	1	23528.449427949745	324.0	69.0	4148	16	Etoposide_B02
1	1	23528.449427949745	327.0	132.0	4794	16	Etoposide_B02
1	1	23528.449427949745	328.0	49.0	5495	16	Etoposide_B02
1	1	23528.449427949745	336.0	55.0	8156	16	Etoposide_B02
1	1	23528.449427949745	342.0	71.0	4128	16	Etoposide_B02
1	1	23528.449427949745	342.0	98.0	5214	16	Etoposide_B02
1	1	23528.449427949745	345.0	86.0	5176	16	Etoposide_B02
2	1	30670.881607252613	609.0	156.0	3236	1	Etoposide_B02
4	1	21958.032268557672	70.0	178.0	3701	11	Etoposide_B02
4	1	21958.032268557672	74.0	161.0	5544	11	Etoposide_B02
4	1	21958.032268557672	82.0	192.0	3859	11	Etoposide_B02
4	1	21958.032268557672	87.0	181.0	4911	11	Etoposide_B02
4	1	21958.032268557672	90.0	176.0	6640	11	Etoposide_B02
4	1	21958.032268557672	95.0	175.0	5029	11	Etoposide_B02
4	1	21958.032268557672	111.0	241.0	3179	11	Etoposide_B02
4	1	21958.032268557672	112.0	223.0	5622	11	Etoposide_B02
4	1	21958.032268557672	115.0	198.0	3488	11	Etoposide_B02
4	1	21958.032268557672	155.0	214.0	3444	11	Etoposide_B02
4	1	21958.032268557672	161.0	228.0	3991	11	Etoposide_B02
6	1	21137.248112532783	477.0	259.0	3638	3	Etoposide_B02
6	1	21137.248112532783	479.0	236.0	4853	3	Etoposide_B02
6	1	21137.248112532783	517.0	227.0	3148	3	Etoposide_B02
10	1	23908.816479183577	766.0	554.0	4519	7	Etoposide_B02
10	1	23908.816479183577	794.0	533.0	3393	7	Etoposide_B02
10	1	23908.816479183577	795.0	544.0	3545	7	Etoposide_B02
10	1	23908.816479183577	809.0	603.0	3674	7	Etoposide_B02
10	1	23908.816479183577	813.0	516.0	3436	7	Etoposide_B02
10	1	23908.816479183577	827.0	457.0	3003	7	Etoposide_B02
10	1	23908.816479183577	848.0	462.0	3566	7	Etoposide_B02
14	1	22334.919265692854	362.0	816.0	4272	12	Etoposide_B02
14	1	22334.919265692854	363.0	783.0	4774	12	Etoposide_B02
14	1	22334.919265692854	369.0	789.0	7257	12	Etoposide_B02
14	1	22334.919265692854	384.0	758.0	4243	12	Etoposide_B02
14	1	22334.919265692854	408.0	788.0	5784	12	Etoposide_B02
14	1	22334.919265692854	409.0	836.0	4349	12	Etoposide_B02
14	1	22334.919265692854	436.0	778.0	3464	12	Etoposide_B02
14	1	22334.919265692854	439.0	796.0	3311	12	Etoposide_B02
14	1	22334.919265692854	440.0	761.0	3232	12	Etoposide_B02
