## ROI	Slice	Cy5	FociPerCell	FociPerCellNoise	Condition
1	1	23528.449427949745	16	16.5	Etoposide_B02
2	1	30670.881607252613	1	1.5	Etoposide_B02
3	1	21574.31821279818	0	0.0	Etoposide_B02
4	1	21958.032268557672	11	11.0	Etoposide_B02
5	1	38801.851833780594	0	0.5	Etoposide_B02
6	1	21137.248112532783	3	3.0	Etoposide_B02
7	1	27331.176831868976	0	-0.5	Etoposide_B02
8	1	35592.44558097802	0	-0.5	Etoposide_B02
9	1	27813.25884255678	0	0.0	Etoposide_B02
10	1	23908.816479183577	7	7.0	Etoposide_B02
11	1	33386.900455927054	0	0.0	Etoposide_B02
12	1	26840.810438247012	0	0.0	Etoposide_B02
13	1	38286.48003939095	0	0.0	Etoposide_B02
14	1	22334.919265692854	12	12.0	Etoposide_B02
15	1	37562.50233856367	0	0.0	Etoposide_B02
16	1	20646.26453007758	14	14.0	Etoposide_B02
17	1	28156.652647775354	2	1.5	Etoposide_B02
18	2	22108.032090328332	1	1.0	Etoposide_B02
19	2	35193.475378623974	0	0.5	Etoposide_B02
20	2	23239.58500660043	7	6.5	Etoposide_B02
21	2	28411.044866111013	0	0.0	Etoposide_B02
22	2	20063.511825922422	12	12.5	Etoposide_B02
23	2	25895.64401427787	1	1.0	Etoposide_B02
24	2	28823.55620935274	0	0.0	Etoposide_B02
25	2	22708.95422600908	15	14.5	Etoposide_B02
26	2	24542.82036447787	1	1.0	Etoposide_B02
27	2	27149.127370673752	1	1.0	Etoposide_B02
28	2	37666.71516262755	0	0.0	Etoposide_B02
29	2	23851.244323391402	41	41.0	Etoposide_B02
30	3	21705.69625167336	2	1.5	Etoposide_B02
31	3	19914.62343501418	12	12.5	Etoposide_B02
32	3	31666.62680488708	1	1.0	Etoposide_B02
33	3	18489.82848777481	7	7.0	Etoposide_B02
34	3	24031.14047600589	3	3.0	Etoposide_B02
35	3	25333.485384236104	2	2.5	Etoposide_B02
36	3	21796.441329179648	5	5.5	Etoposide_B02
37	3	21529.24489495024	4	3.5	Etoposide_B02
38	3	22123.11602799067	0	0.0	Etoposide_B02
39	3	40313.62222582213	10	10.5	Etoposide_B02
40	3	26417.83121835344	38	37.5	Etoposide_B02
41	4	22592.204179678116	2	1.5	Etoposide_B02
42	4	48606.24971687429	4	3.5	Etoposide_B02
43	4	23176.421764327108	5	5.0	Etoposide_B02
44	4	14930.738223879462	23	22.5	Etoposide_B02
45	4	30415.820014662757	1	1.5	Etoposide_B02
46	4	32756.27466377078	0	0.0	Etoposide_B02
47	4	21638.178469841732	5	4.5	Etoposide_B02
48	4	19306.088342762847	8	7.5	Etoposide_B02
49	4	26665.033202271734	8	7.5	Etoposide_B02
50	4	25524.62910284464	3	3.0	Etoposide_B02
51	4	17608.148758043313	0	0.5	Etoposide_B02
52	4	35301.63909708139	3	3.0	Etoposide_B02
53	5	2616.1085190585295	13	13.0	Ctrl_B02
54	5	924.4511027150514	0	0.5	Ctrl_B02
55	5	1725.5109048373708	0	0.0	Ctrl_B02
56	5	913.4729765127041	0	0.0	Ctrl_B02
57	5	953.7739144901014	1	1.0	Ctrl_B02
58	5	1322.854627809589	0	0.0	Ctrl_B02
59	5	916.9980402916046	0	-0.5	Ctrl_B02
60	5	1029.670977134538	7	7.0	Ctrl_B02
61	5	2221.5002236135956	8	8.5	Ctrl_B02
62	5	913.2456910309608	1	1.0	Ctrl_B02
63	5	1054.124857561452	0	0.5	Ctrl_B02
64	5	881.8286755771568	0	-0.5	Ctrl_B02
65	5	782.422401171303	0	-0.5	Ctrl_B02
66	5	743.1392568659128	0	0.0	Ctrl_B02
67	5	857.1636183508612	2	2.5	Ctrl_B02
68	6	575.6947953913389	0	0.0	Ctrl_B02
69	6	831.971320516861	0	0.0	Ctrl_B02
70	6	672.6956176563989	0	0.0	Ctrl_B02
71	6	665.9758681577398	0	0.0	Ctrl_B02
72	6	591.829716193656	0	0.0	Ctrl_B02
73	6	720.3840521928234	0	0.5	Ctrl_B02
74	6	3267.815889106009	17	17.0	Ctrl_B02
75	6	721.0951867539469	0	-0.5	Ctrl_B02
76	6	766.9089897260274	0	0.0	Ctrl_B02
77	6	3885.3884159771414	12	12.0	Ctrl_B02
78	6	997.1572559366755	0	0.0	Ctrl_B02
79	6	908.2002996122665	0	0.0	Ctrl_B02
80	6	4286.801852387844	19	19.5	Ctrl_B02
81	6	774.9705619982159	0	-0.5	Ctrl_B02
82	7	1004.6378610840636	0	0.0	Ctrl_B02
83	7	845.4238903090867	0	0.0	Ctrl_B02
84	7	2470.670591751345	16	15.5	Ctrl_B02
85	7	1516.3336115167954	0	-0.5	Ctrl_B02
86	7	1147.9178235871548	0	0.0	Ctrl_B02
87	7	1332.0978093181118	0	0.0	Ctrl_B02
88	7	762.4365375263413	0	0.0	Ctrl_B02
89	7	2275.094513810064	6	6.5	Ctrl_B02
90	7	1946.5781570932786	12	12.0	Ctrl_B02
91	7	706.6771399322781	0	-0.5	Ctrl_B02
92	7	813.5024600776867	0	0.0	Ctrl_B02
93	7	3381.696336268106	13	13.0	Ctrl_B02
94	7	834.2691437331192	0	-0.5	Ctrl_B02
95	7	2114.2486693280107	1	1.0	Ctrl_B02
96	7	763.2473447055037	0	0.0	Ctrl_B02
97	7	1019.7359458829018	0	0.5	Ctrl_B02
98	8	2352.845649465609	20	20.0	Ctrl_B02
99	8	2670.8875040119824	18	18.0	Ctrl_B02
100	8	2220.0976579761377	14	14.0	Ctrl_B02
101	8	1878.7912353127977	11	11.0	Ctrl_B02
102	8	830.018121795322	1	1.0	Ctrl_B02
103	8	2121.88121226196	20	20.5	Ctrl_B02
104	8	5446.52184105203	14	14.5	Ctrl_B02
105	8	909.2356511413116	1	1.5	Ctrl_B02
106	8	947.3168683971174	0	0.0	Ctrl_B02
107	8	908.7807890222984	0	0.0	Ctrl_B02
108	8	910.0828512948295	0	0.5	Ctrl_B02
109	8	5676.105563570219	9	9.0	Ctrl_B02
110	8	856.6445371502554	0	0.0	Ctrl_B02
111	8	899.0989282769992	0	-0.5	Ctrl_B02
112	8	2052.4186185859025	7	6.5	Ctrl_B02
113	8	904.9241940389294	0	0.0	Ctrl_B02
114	8	2654.461748777538	5	5.0	Ctrl_B02
115	8	880.8909819894355	0	0.0	Ctrl_B02
116	9	12122.764341517857	2	2.0	Etoposide
117	9	15047.836375078667	22	22.5	Etoposide
118	9	18471.44912443619	23	23.5	Etoposide
119	9	19026.12665062122	2	2.0	Etoposide
120	9	18517.34344341578	1	1.0	Etoposide
121	9	17701.414080671697	15	15.5	Etoposide
122	9	15807.412792112951	15	15.5	Etoposide
123	9	23330.149868475703	4	4.0	Etoposide
124	9	14761.661633191614	17	17.5	Etoposide
125	9	17846.77440981385	1	1.0	Etoposide
126	9	22017.189711567054	50	50.5	Etoposide
127	9	20862.137658136446	25	25.5	Etoposide
128	9	19938.53997449151	12	11.5	Etoposide
129	9	12457.449803520482	59	59.5	Etoposide
130	10	17400.408993235178	15	15.0	Etoposide
131	10	17972.228220372574	56	55.5	Etoposide
132	10	13194.75377475652	78	78.0	Etoposide
133	10	20590.009824060016	26	26.0	Etoposide
134	10	24118.746907552082	62	61.5	Etoposide
135	10	15720.920872787156	4	3.5	Etoposide
136	10	15710.878842939168	2	2.0	Etoposide
137	10	17378.321777874375	78	78.5	Etoposide
138	10	19430.825302260382	104	104.0	Etoposide
139	10	20368.287294968028	100	100.0	Etoposide
140	10	20130.88642206123	1	1.0	Etoposide
141	10	15776.130928015906	12	12.0	Etoposide
142	10	21590.210993291494	21	21.0	Etoposide
143	10	18418.590621350868	89	89.0	Etoposide
144	10	15346.560043080237	15	14.5	Etoposide
145	11	20009.128883121095	10	10.0	Etoposide
146	11	26245.51281677833	6	6.0	Etoposide
147	11	13952.95025281357	3	3.0	Etoposide
148	11	17164.53097670317	17	17.0	Etoposide
