## ROI	Slice	EdU	X	Y	Cy5	FociPerCell	Condition
1	1	892.998838367076	571.0	265.0	1222	1	Ctrl_H2O2
2	1	14539.13676731794	227.0	434.0	1122	1	Ctrl_H2O2
3	1	17512.063752370213	755.0	649.0	1030	1	Ctrl_H2O2
4	1	860.4955295112668	170.0	759.0	1369	2	Ctrl_H2O2
4	1	860.4955295112668	299.0	820.0	1887	2	Ctrl_H2O2
5	2	565.7843469832808	340.0	153.0	520	1	Ctrl_H2O2
6	2	18347.93613187656	613.0	228.0	2371	6	Ctrl_H2O2
6	2	18347.93613187656	636.0	189.0	3043	6	Ctrl_H2O2
6	2	18347.93613187656	682.0	129.0	2682	6	Ctrl_H2O2
6	2	18347.93613187656	698.0	249.0	1838	6	Ctrl_H2O2
6	2	18347.93613187656	714.0	172.0	2661	6	Ctrl_H2O2
6	2	18347.93613187656	744.0	167.0	1091	6	Ctrl_H2O2
7	2	16867.267024722234	355.0	295.0	2679	3	Ctrl_H2O2
7	2	16867.267024722234	379.0	384.0	2575	3	Ctrl_H2O2
7	2	16867.267024722234	449.0	253.0	2837	3	Ctrl_H2O2
8	2	540.0983289600883	34.0	409.0	466	1	Ctrl_H2O2
9	2	7091.904751629192	857.0	534.0	2099	4	Ctrl_H2O2
9	2	7091.904751629192	867.0	559.0	2467	4	Ctrl_H2O2
9	2	7091.904751629192	873.0	466.0	1554	4	Ctrl_H2O2
9	2	7091.904751629192	897.0	376.0	2479	4	Ctrl_H2O2
10	2	6281.072294191392	616.0	571.0	2054	2	Ctrl_H2O2
10	2	6281.072294191392	634.0	564.0	1730	2	Ctrl_H2O2
11	2	582.7377252584934	325.0	616.0	514	1	Ctrl_H2O2
12	2	6354.740012775785	433.0	818.0	2047	4	Ctrl_H2O2
12	2	6354.740012775785	459.0	854.0	2706	4	Ctrl_H2O2
12	2	6354.740012775785	495.0	776.0	1958	4	Ctrl_H2O2
12	2	6354.740012775785	525.0	804.0	2218	4	Ctrl_H2O2
13	3	12201.75677299385	226.0	295.0	1527	3	Ctrl_H2O2
13	3	12201.75677299385	278.0	256.0	1640	3	Ctrl_H2O2
13	3	12201.75677299385	315.0	240.0	1677	3	Ctrl_H2O2
14	3	12172.170514378291	42.0	277.0	2567	7	Ctrl_H2O2
14	3	12172.170514378291	97.0	275.0	2261	7	Ctrl_H2O2
14	3	12172.170514378291	121.0	198.0	1385	7	Ctrl_H2O2
14	3	12172.170514378291	130.0	309.0	1158	7	Ctrl_H2O2
14	3	12172.170514378291	134.0	263.0	2430	7	Ctrl_H2O2
14	3	12172.170514378291	136.0	173.0	2877	7	Ctrl_H2O2
14	3	12172.170514378291	148.0	263.0	3361	7	Ctrl_H2O2
15	3	18166.597401314164	516.0	500.0	2081	5	Ctrl_H2O2
15	3	18166.597401314164	543.0	501.0	2089	5	Ctrl_H2O2
15	3	18166.597401314164	545.0	387.0	1221	5	Ctrl_H2O2
15	3	18166.597401314164	581.0	417.0	2372	5	Ctrl_H2O2
15	3	18166.597401314164	592.0	453.0	2263	5	Ctrl_H2O2
16	3	662.9816269333242	695.0	469.0	2109	16	Ctrl_H2O2
16	3	662.9816269333242	703.0	524.0	2080	16	Ctrl_H2O2
16	3	662.9816269333242	714.0	555.0	2122	16	Ctrl_H2O2
16	3	662.9816269333242	720.0	502.0	2749	16	Ctrl_H2O2
16	3	662.9816269333242	729.0	516.0	2186	16	Ctrl_H2O2
16	3	662.9816269333242	748.0	513.0	2477	16	Ctrl_H2O2
16	3	662.9816269333242	750.0	444.0	2000	16	Ctrl_H2O2
16	3	662.9816269333242	754.0	557.0	2749	16	Ctrl_H2O2
16	3	662.9816269333242	764.0	495.0	2746	16	Ctrl_H2O2
16	3	662.9816269333242	766.0	479.0	2353	16	Ctrl_H2O2
16	3	662.9816269333242	772.0	531.0	2746	16	Ctrl_H2O2
16	3	662.9816269333242	779.0	566.0	2749	16	Ctrl_H2O2
16	3	662.9816269333242	805.0	510.0	2634	16	Ctrl_H2O2
16	3	662.9816269333242	817.0	531.0	2795	16	Ctrl_H2O2
16	3	662.9816269333242	826.0	476.0	2175	16	Ctrl_H2O2
16	3	662.9816269333242	859.0	582.0	2295	16	Ctrl_H2O2
17	3	15045.419806966009	295.0	580.0	1108	1	Ctrl_H2O2
18	3	680.4322496587666	332.0	878.0	2721	1	Ctrl_H2O2
19	3	685.8717555495917	809.0	890.0	1404	1	Ctrl_H2O2
20	4	9191.147580753852	426.0	495.0	1560	2	Ctrl_H2O2
20	4	9191.147580753852	487.0	386.0	2132	2	Ctrl_H2O2
21	4	9679.427252260846	923.0	544.0	1142	1	Ctrl_H2O2
22	4	641.3805006286433	711.0	555.0	1479	1	Ctrl_H2O2
23	4	693.5424272254254	72.0	657.0	3083	9	Ctrl_H2O2
