## ROI	Slice	EdU	FociPerCell	FociPerCellNoise	Condition
1	1	892.998838367076	1	1.0	Ctrl_H2O2
2	1	14539.13676731794	1	1.5	Ctrl_H2O2
3	1	17512.063752370213	1	0.5	Ctrl_H2O2
4	1	860.4955295112668	2	2.0	Ctrl_H2O2
5	2	565.7843469832808	1	1.0	Ctrl_H2O2
6	2	18347.93613187656	6	6.0	Ctrl_H2O2
7	2	16867.267024722234	3	3.0	Ctrl_H2O2
8	2	540.0983289600883	1	1.5	Ctrl_H2O2
9	2	7091.904751629192	4	3.5	Ctrl_H2O2
10	2	6281.072294191392	2	2.0	Ctrl_H2O2
11	2	582.7377252584934	1	1.0	Ctrl_H2O2
12	2	6354.740012775785	4	4.0	Ctrl_H2O2
13	3	12201.75677299385	3	3.5	Ctrl_H2O2
14	3	12172.170514378291	7	6.5	Ctrl_H2O2
15	3	18166.597401314164	5	5.0	Ctrl_H2O2
16	3	662.9816269333242	16	16.5	Ctrl_H2O2
17	3	15045.419806966009	1	0.5	Ctrl_H2O2
18	3	680.4322496587666	1	1.0	Ctrl_H2O2
19	3	685.8717555495917	1	1.5	Ctrl_H2O2
20	4	9191.147580753852	2	2.0	Ctrl_H2O2
21	4	9679.427252260846	1	0.5	Ctrl_H2O2
22	4	641.3805006286433	1	1.5	Ctrl_H2O2
23	4	693.5424272254254	9	9.5	Ctrl_H2O2
24	4	640.1554897397926	1	1.5	Ctrl_H2O2
25	4	612.6183854479856	1	1.0	Ctrl_H2O2
26	4	604.1997005988025	1	1.0	Ctrl_H2O2
27	4	585.1265604430523	1	0.5	Ctrl_H2O2
28	5	15911.86175887822	9	8.5	Ctrl_H2O2
29	5	11308.416433566434	1	0.5	Ctrl_H2O2
30	5	656.6423736462094	1	1.0	Ctrl_H2O2
31	5	15095.89278598705	6	6.0	Ctrl_H2O2
32	5	622.6333126406456	1	0.5	Ctrl_H2O2
33	5	12318.71808606248	14	14.5	Ctrl_H2O2
34	5	15585.638974549507	5	5.5	Ctrl_H2O2
35	5	21617.354029566046	2	2.5	Ctrl_H2O2
36	5	13618.623982183868	7	7.0	Ctrl_H2O2
37	5	9540.109030123154	20	20.0	Ctrl_H2O2
38	6	5372.300923243327	8	8.0	Ctrl_H2O2
39	6	659.9787604247915	1	1.5	Ctrl_H2O2
40	6	725.2102145522388	1	1.0	Ctrl_H2O2
41	6	9015.11151537202	4	4.0	Ctrl_H2O2
42	6	8096.018560651419	11	11.5	Ctrl_H2O2
43	6	593.4652124554005	1	1.0	Ctrl_H2O2
44	6	619.3915928291779	1	1.0	Ctrl_H2O2
45	6	633.2747213659	1	0.5	Ctrl_H2O2
46	6	718.7267899865788	1	0.5	Ctrl_H2O2
47	7	29303.719296489122	3	3.5	Ctrl
48	7	18750.57395547423	4	4.5	Ctrl
49	7	12489.12037037037	1	1.0	Ctrl
50	7	563.6950745641672	1	1.0	Ctrl
51	7	589.2690277671537	1	1.5	Ctrl
52	7	16592.88717143662	4	3.5	Ctrl
53	7	5546.766934383998	1	1.0	Ctrl
54	7	10485.085987119697	2	2.5	Ctrl
55	8	39330.75615651911	16	16.0	Ctrl
56	8	29740.634545063454	10	9.5	Ctrl
57	8	47900.79750263277	17	17.0	Ctrl
58	8	25284.222785797894	16	16.5	Ctrl
59	8	25918.75241171404	19	19.0	Ctrl
60	8	43949.25540128261	12	11.5	Ctrl
61	8	836.4783540318349	2	2.0	Ctrl
62	9	575.2337447512406	1	1.0	Ctrl
63	9	592.7916712814265	4	4.0	Ctrl
64	9	25094.04126874165	2	2.5	Ctrl
65	9	587.4047402619263	1	1.5	Ctrl
66	9	577.2586518003824	1	1.0	Ctrl
67	9	595.0983614232209	1	1.5	Ctrl
68	10	20097.266967210227	13	12.5	Ctrl
69	10	607.3268356607559	1	1.5	Ctrl
70	10	12018.840645130955	9	9.0	Ctrl
71	10	575.394970867832	1	1.0	Ctrl
72	10	602.9197673578499	2	2.0	Ctrl
73	10	587.9849052384413	1	1.5	Ctrl
74	10	5319.356047780286	1	1.0	Ctrl
75	10	8976.727962948902	6	6.0	Ctrl
76	11	27630.16458655541	11	11.0	Ctrl
77	11	4090.038520106029	2	2.0	Ctrl
78	11	2820.390796201607	2	1.5	Ctrl
79	11	10969.044784221478	2	2.5	Ctrl
80	11	5832.555141466382	1	1.0	Ctrl
81	11	13771.119382022473	1	1.0	Ctrl
82	11	10556.866706095443	1	1.5	Ctrl
83	11	13442.869838511857	7	6.5	Ctrl
84	12	20245.57790397522	7	7.0	Ctrl
85	12	21281.086918489065	4	4.0	Ctrl
86	12	22496.5956585177	3	3.0	Ctrl
87	12	574.636303630363	1	1.0	Ctrl
88	12	597.758723341955	1	1.5	Ctrl
89	12	24543.783474220818	11	10.5	Ctrl
90	13	682.7830537799779	1	1.5	shSTN1_H2O2
91	13	737.3324698300373	1	1.0	shSTN1_H2O2
92	13	741.2157067222846	1	1.0	shSTN1_H2O2
93	13	17969.597021016118	1	1.0	shSTN1_H2O2
94	13	754.3611641922681	1	1.0	shSTN1_H2O2
95	13	12345.864939082128	1	1.5	shSTN1_H2O2
96	13	753.1745265841223	1	1.0	shSTN1_H2O2
97	13	11905.597503968955	1	0.5	shSTN1_H2O2
98	13	775.5633670791151	1	1.0	shSTN1_H2O2
99	14	6008.799471702355	1	1.5	shSTN1_H2O2
100	14	707.602508650519	1	1.5	shSTN1_H2O2
101	14	5888.329286505757	1	1.5	shSTN1_H2O2
