## ROI	Slice	EdU	X	Y	Cy5	FociPerCell	Condition
1	1	19195.914846012107	393.0	217.0	759	4	Ctrl_H2O2
1	1	19195.914846012107	429.0	221.0	686	4	Ctrl_H2O2
1	1	19195.914846012107	463.0	135.0	733	4	Ctrl_H2O2
1	1	19195.914846012107	503.0	215.0	850	4	Ctrl_H2O2
2	1	19300.587723440134	464.0	387.0	723	8	Ctrl_H2O2
2	1	19300.587723440134	470.0	311.0	929	8	Ctrl_H2O2
2	1	19300.587723440134	516.0	368.0	805	8	Ctrl_H2O2
2	1	19300.587723440134	528.0	406.0	855	8	Ctrl_H2O2
2	1	19300.587723440134	561.0	357.0	1462	8	Ctrl_H2O2
2	1	19300.587723440134	573.0	452.0	756	8	Ctrl_H2O2
2	1	19300.587723440134	584.0	403.0	1082	8	Ctrl_H2O2
2	1	19300.587723440134	600.0	397.0	790	8	Ctrl_H2O2
3	1	5318.540358035689	142.0	575.0	3647	6	Ctrl_H2O2
3	1	5318.540358035689	148.0	571.0	3309	6	Ctrl_H2O2
3	1	5318.540358035689	149.0	579.0	3647	6	Ctrl_H2O2
3	1	5318.540358035689	155.0	571.0	3647	6	Ctrl_H2O2
3	1	5318.540358035689	169.0	581.0	3421	6	Ctrl_H2O2
3	1	5318.540358035689	172.0	594.0	2048	6	Ctrl_H2O2
4	1	14599.739738208722	794.0	587.0	1023	7	Ctrl_H2O2
4	1	14599.739738208722	796.0	593.0	905	7	Ctrl_H2O2
4	1	14599.739738208722	805.0	521.0	724	7	Ctrl_H2O2
4	1	14599.739738208722	821.0	595.0	745	7	Ctrl_H2O2
4	1	14599.739738208722	826.0	574.0	1260	7	Ctrl_H2O2
4	1	14599.739738208722	848.0	590.0	891	7	Ctrl_H2O2
4	1	14599.739738208722	862.0	518.0	880	7	Ctrl_H2O2
6	1	541.5884781102172	79.0	726.0	755	9	Ctrl_H2O2
6	1	541.5884781102172	83.0	679.0	758	9	Ctrl_H2O2
6	1	541.5884781102172	102.0	773.0	1351	9	Ctrl_H2O2
6	1	541.5884781102172	108.0	699.0	706	9	Ctrl_H2O2
6	1	541.5884781102172	187.0	727.0	1264	9	Ctrl_H2O2
6	1	541.5884781102172	243.0	713.0	2227	9	Ctrl_H2O2
6	1	541.5884781102172	251.0	766.0	705	9	Ctrl_H2O2
6	1	541.5884781102172	256.0	695.0	1079	9	Ctrl_H2O2
6	1	541.5884781102172	286.0	752.0	903	9	Ctrl_H2O2
7	1	22827.2250296824	672.0	750.0	654	1	Ctrl_H2O2
12	2	553.1042871725076	300.0	531.0	655	1	Ctrl_H2O2
18	3	20181.26733725663	821.0	492.0	724	1	Ctrl_H2O2
19	3	4997.47874701965	597.0	554.0	1651	4	Ctrl_H2O2
19	3	4997.47874701965	618.0	620.0	972	4	Ctrl_H2O2
19	3	4997.47874701965	637.0	558.0	773	4	Ctrl_H2O2
19	3	4997.47874701965	691.0	633.0	914	4	Ctrl_H2O2
21	3	596.4390934844192	795.0	856.0	928	2	Ctrl_H2O2
21	3	596.4390934844192	918.0	808.0	933	2	Ctrl_H2O2
22	3	686.2695710009976	50.0	914.0	898	11	Ctrl_H2O2
22	3	686.2695710009976	51.0	982.0	813	11	Ctrl_H2O2
22	3	686.2695710009976	76.0	1016.0	2356	11	Ctrl_H2O2
22	3	686.2695710009976	90.0	878.0	1544	11	Ctrl_H2O2
22	3	686.2695710009976	98.0	953.0	993	11	Ctrl_H2O2
22	3	686.2695710009976	103.0	972.0	915	11	Ctrl_H2O2
22	3	686.2695710009976	118.0	989.0	963	11	Ctrl_H2O2
22	3	686.2695710009976	131.0	861.0	2287	11	Ctrl_H2O2
22	3	686.2695710009976	148.0	967.0	879	11	Ctrl_H2O2
22	3	686.2695710009976	153.0	918.0	1434	11	Ctrl_H2O2
22	3	686.2695710009976	166.0	955.0	819	11	Ctrl_H2O2
24	4	15195.176809847637	220.0	192.0	754	3	Ctrl_H2O2
24	4	15195.176809847637	265.0	147.0	728	3	Ctrl_H2O2
24	4	15195.176809847637	330.0	148.0	1165	3	Ctrl_H2O2
27	4	18429.928837742882	657.0	478.0	982	13	Ctrl_H2O2
27	4	18429.928837742882	665.0	468.0	864	13	Ctrl_H2O2
27	4	18429.928837742882	687.0	426.0	738	13	Ctrl_H2O2
27	4	18429.928837742882	696.0	496.0	1043	13	Ctrl_H2O2
27	4	18429.928837742882	723.0	519.0	981	13	Ctrl_H2O2
27	4	18429.928837742882	737.0	502.0	1180	13	Ctrl_H2O2
27	4	18429.928837742882	744.0	521.0	813	13	Ctrl_H2O2
27	4	18429.928837742882	748.0	464.0	751	13	Ctrl_H2O2
27	4	18429.928837742882	769.0	518.0	1160	13	Ctrl_H2O2
27	4	18429.928837742882	783.0	511.0	1062	13	Ctrl_H2O2
27	4	18429.928837742882	820.0	508.0	824	13	Ctrl_H2O2
27	4	18429.928837742882	838.0	524.0	1216	13	Ctrl_H2O2
27	4	18429.928837742882	839.0	507.0	811	13	Ctrl_H2O2
29	4	18920.61508539251	409.0	651.0	1006	14	Ctrl_H2O2
29	4	18920.61508539251	415.0	678.0	985	14	Ctrl_H2O2
29	4	18920.61508539251	421.0	628.0	999	14	Ctrl_H2O2
29	4	18920.61508539251	438.0	648.0	794	14	Ctrl_H2O2
29	4	18920.61508539251	443.0	694.0	1065	14	Ctrl_H2O2
29	4	18920.61508539251	459.0	624.0	1665	14	Ctrl_H2O2
29	4	18920.61508539251	460.0	718.0	873	14	Ctrl_H2O2
29	4	18920.61508539251	499.0	641.0	1018	14	Ctrl_H2O2
29	4	18920.61508539251	508.0	769.0	829	14	Ctrl_H2O2
29	4	18920.61508539251	516.0	738.0	928	14	Ctrl_H2O2
29	4	18920.61508539251	516.0	784.0	828	14	Ctrl_H2O2
29	4	18920.61508539251	538.0	791.0	1463	14	Ctrl_H2O2
