## ROI	Slice	EdU	FociPerCell	FociPerCellNoise	Condition
1	1	19195.914846012107	4	3.5	Ctrl_H2O2
2	1	19300.587723440134	8	8.5	Ctrl_H2O2
3	1	5318.540358035689	6	6.5	Ctrl_H2O2
4	1	14599.739738208722	7	7.0	Ctrl_H2O2
5	1	512.1613577023498	0	0.0	Ctrl_H2O2
6	1	541.5884781102172	9	9.0	Ctrl_H2O2
7	1	22827.2250296824	1	1.0	Ctrl_H2O2
8	1	553.8259910860896	0	0.0	Ctrl_H2O2
9	2	489.4066949787659	0	-0.5	Ctrl_H2O2
10	2	565.2471304521409	0	0.0	Ctrl_H2O2
11	2	25310.664859671997	0	-0.5	Ctrl_H2O2
12	2	553.1042871725076	1	1.5	Ctrl_H2O2
13	2	10527.468388589052	0	0.0	Ctrl_H2O2
14	2	13680.914946034725	0	0.0	Ctrl_H2O2
15	2	31988.76430522305	0	0.5	Ctrl_H2O2
16	3	21883.88885925926	0	0.0	Ctrl_H2O2
17	3	20377.219744872713	0	-0.5	Ctrl_H2O2
18	3	20181.26733725663	1	0.5	Ctrl_H2O2
19	3	4997.47874701965	4	4.0	Ctrl_H2O2
20	3	566.7669756005296	0	0.0	Ctrl_H2O2
21	3	596.4390934844192	2	2.0	Ctrl_H2O2
22	3	686.2695710009976	11	10.5	Ctrl_H2O2
23	4	14467.280182705284	0	0.0	Ctrl_H2O2
24	4	15195.176809847637	3	2.5	Ctrl_H2O2
25	4	19246.014717832957	0	0.0	Ctrl_H2O2
26	4	12371.07985167663	0	-0.5	Ctrl_H2O2
27	4	18429.928837742882	13	13.5	Ctrl_H2O2
28	4	28979.932827307828	0	-0.5	Ctrl_H2O2
29	4	18920.61508539251	14	14.5	Ctrl_H2O2
30	4	12997.488933139311	17	17.5	Ctrl_H2O2
31	4	508.44966838036186	0	-0.5	Ctrl_H2O2
32	5	626.9383723316913	0	0.0	Ctrl
33	5	405.33859054570735	0	0.5	Ctrl
34	5	26662.94967809749	2	2.0	Ctrl
35	5	23611.23893235159	2	2.0	Ctrl
36	5	3575.5744667735175	0	0.0	Ctrl
37	5	24589.05638095238	2	2.5	Ctrl
38	5	459.711358992766	0	-0.5	Ctrl
39	5	566.2409823803191	0	0.5	Ctrl
40	5	494.67539267015707	0	-0.5	Ctrl
41	6	40179.42747825075	5	5.0	Ctrl
42	6	1425.4184009621417	1	1.0	Ctrl
43	6	31122.633806729402	20	20.0	Ctrl
44	6	457.596130592503	0	0.0	Ctrl
45	6	927.8179748033359	2	2.0	Ctrl
46	6	42760.46169719788	11	10.5	Ctrl
47	7	427.263323810462	0	0.0	Ctrl
48	7	443.8605603555911	0	0.5	Ctrl
49	7	27998.740371964013	14	14.0	Ctrl
50	7	18191.78218835305	2	2.0	Ctrl
51	7	39529.2034026918	15	14.5	Ctrl
52	7	640.6259076128113	0	0.0	Ctrl
53	7	23483.18607538191	12	12.0	Ctrl
54	7	26000.063852514144	8	8.0	Ctrl
55	7	45390.296575859466	21	21.0	Ctrl
56	8	36023.86895683202	15	15.5	Ctrl
57	8	479.82900374022444	0	0.0	Ctrl
