## ROI	Slice	Cy5	X	Y	A488	FociPerCell	Condition
1	1	13898.45179213422	690.0	113.0	2709	2	Etoposide_B02
1	1	13898.45179213422	745.0	88.0	4584	2	Etoposide_B02
2	1	11230.356665219279	151.0	298.0	2589	1	Etoposide_B02
4	1	28902.716759214727	263.0	574.0	5374	2	Etoposide_B02
4	1	28902.716759214727	272.0	568.0	6779	2	Etoposide_B02
5	1	11648.581615651925	149.0	738.0	2651	1	Etoposide_B02
7	1	16279.957319784058	210.0	759.0	2679	2	Etoposide_B02
7	1	16279.957319784058	224.0	784.0	2906	2	Etoposide_B02
8	2	15751.502254065368	571.0	26.0	3501	2	Etoposide_B02
8	2	15751.502254065368	579.0	18.0	3519	2	Etoposide_B02
11	2	15058.849051598356	711.0	408.0	3708	3	Etoposide_B02
11	2	15058.849051598356	748.0	346.0	2676	3	Etoposide_B02
11	2	15058.849051598356	770.0	372.0	3103	3	Etoposide_B02
12	2	14990.334574201104	431.0	395.0	3397	2	Etoposide_B02
12	2	14990.334574201104	439.0	473.0	4979	2	Etoposide_B02
13	2	15492.670414923292	687.0	564.0	3251	5	Etoposide_B02
13	2	15492.670414923292	716.0	542.0	4477	5	Etoposide_B02
13	2	15492.670414923292	720.0	541.0	4269	5	Etoposide_B02
13	2	15492.670414923292	734.0	595.0	2724	5	Etoposide_B02
13	2	15492.670414923292	782.0	580.0	3368	5	Etoposide_B02
14	2	15613.828522171438	356.0	608.0	2810	1	Etoposide_B02
15	2	15778.23088267187	471.0	554.0	5018	4	Etoposide_B02
15	2	15778.23088267187	490.0	568.0	3064	4	Etoposide_B02
15	2	15778.23088267187	496.0	661.0	2715	4	Etoposide_B02
15	2	15778.23088267187	510.0	606.0	4798	4	Etoposide_B02
16	2	15837.721711581335	598.0	789.0	2862	2	Etoposide_B02
16	2	15837.721711581335	604.0	801.0	2902	2	Etoposide_B02
18	3	16203.805323999448	422.0	257.0	2783	1	Etoposide_B02
19	3	18333.525210084033	120.0	415.0	6116	15	Etoposide_B02
19	3	18333.525210084033	132.0	416.0	3417	15	Etoposide_B02
19	3	18333.525210084033	136.0	421.0	3190	15	Etoposide_B02
19	3	18333.525210084033	142.0	376.0	3817	15	Etoposide_B02
19	3	18333.525210084033	156.0	428.0	3384	15	Etoposide_B02
19	3	18333.525210084033	157.0	344.0	2881	15	Etoposide_B02
19	3	18333.525210084033	168.0	433.0	5591	15	Etoposide_B02
19	3	18333.525210084033	170.0	373.0	3472	15	Etoposide_B02
19	3	18333.525210084033	182.0	408.0	3410	15	Etoposide_B02
19	3	18333.525210084033	187.0	370.0	2897	15	Etoposide_B02
19	3	18333.525210084033	199.0	453.0	3160	15	Etoposide_B02
19	3	18333.525210084033	223.0	431.0	3331	15	Etoposide_B02
19	3	18333.525210084033	227.0	390.0	3052	15	Etoposide_B02
19	3	18333.525210084033	231.0	385.0	3385	15	Etoposide_B02
19	3	18333.525210084033	261.0	389.0	4094	15	Etoposide_B02
20	3	14826.87057941824	313.0	472.0	3402	7	Etoposide_B02
20	3	14826.87057941824	339.0	481.0	3378	7	Etoposide_B02
20	3	14826.87057941824	359.0	455.0	2958	7	Etoposide_B02
20	3	14826.87057941824	390.0	501.0	3140	7	Etoposide_B02
20	3	14826.87057941824	399.0	452.0	3187	7	Etoposide_B02
20	3	14826.87057941824	403.0	474.0	2988	7	Etoposide_B02
20	3	14826.87057941824	425.0	549.0	3625	7	Etoposide_B02
22	3	18521.92345743296	425.0	549.0	3625	2	Etoposide_B02
22	3	18521.92345743296	484.0	582.0	4235	2	Etoposide_B02
23	3	18532.901922866422	130.0	690.0	5914	24	Etoposide_B02
23	3	18532.901922866422	138.0	654.0	3744	24	Etoposide_B02
23	3	18532.901922866422	142.0	648.0	3458	24	Etoposide_B02
23	3	18532.901922866422	151.0	679.0	3177	24	Etoposide_B02
23	3	18532.901922866422	152.0	651.0	3700	24	Etoposide_B02
23	3	18532.901922866422	154.0	765.0	6979	24	Etoposide_B02
23	3	18532.901922866422	163.0	636.0	3412	24	Etoposide_B02
23	3	18532.901922866422	177.0	760.0	3642	24	Etoposide_B02
23	3	18532.901922866422	184.0	672.0	3342	24	Etoposide_B02
23	3	18532.901922866422	184.0	677.0	3550	24	Etoposide_B02
23	3	18532.901922866422	192.0	613.0	2941	24	Etoposide_B02
23	3	18532.901922866422	200.0	715.0	4220	24	Etoposide_B02
23	3	18532.901922866422	218.0	752.0	3248	24	Etoposide_B02
23	3	18532.901922866422	220.0	736.0	2795	24	Etoposide_B02
23	3	18532.901922866422	223.0	648.0	3364	24	Etoposide_B02
23	3	18532.901922866422	230.0	667.0	4023	24	Etoposide_B02
23	3	18532.901922866422	244.0	611.0	3832	24	Etoposide_B02
23	3	18532.901922866422	245.0	685.0	5838	24	Etoposide_B02
23	3	18532.901922866422	250.0	629.0	4118	24	Etoposide_B02
23	3	18532.901922866422	271.0	630.0	5586	24	Etoposide_B02
23	3	18532.901922866422	282.0	678.0	2970	24	Etoposide_B02
23	3	18532.901922866422	286.0	659.0	2994	24	Etoposide_B02
23	3	18532.901922866422	291.0	618.0	6488	24	Etoposide_B02
23	3	18532.901922866422	307.0	649.0	4261	24	Etoposide_B02
24	3	11419.340780956358	778.0	705.0	2718	3	Etoposide_B02
24	3	11419.340780956358	840.0	747.0	3270	3	Etoposide_B02
24	3	11419.340780956358	869.0	837.0	3726	3	Etoposide_B02
25	4	20762.913262134825	137.0	81.0	3051	4	Etoposide_B02
25	4	20762.913262134825	187.0	108.0	3770	4	Etoposide_B02
25	4	20762.913262134825	203.0	143.0	2956	4	Etoposide_B02
25	4	20762.913262134825	261.0	81.0	2921	4	Etoposide_B02
26	4	14361.136291773428	367.0	107.0	4114	30	Etoposide_B02
26	4	14361.136291773428	414.0	236.0	3626	30	Etoposide_B02
26	4	14361.136291773428	420.0	257.0	2943	30	Etoposide_B02
26	4	14361.136291773428	428.0	270.0	3259	30	Etoposide_B02
26	4	14361.136291773428	442.0	252.0	3502	30	Etoposide_B02
26	4	14361.136291773428	449.0	190.0	3986	30	Etoposide_B02
26	4	14361.136291773428	450.0	251.0	3520	30	Etoposide_B02
26	4	14361.136291773428	473.0	243.0	4136	30	Etoposide_B02
26	4	14361.136291773428	473.0	283.0	3248	30	Etoposide_B02
26	4	14361.136291773428	481.0	182.0	3878	30	Etoposide_B02
26	4	14361.136291773428	487.0	309.0	6708	30	Etoposide_B02
26	4	14361.136291773428	492.0	331.0	5428	30	Etoposide_B02
26	4	14361.136291773428	497.0	116.0	3131	30	Etoposide_B02
26	4	14361.136291773428	498.0	335.0	4361	30	Etoposide_B02
26	4	14361.136291773428	501.0	266.0	3677	30	Etoposide_B02
26	4	14361.136291773428	503.0	283.0	5221	30	Etoposide_B02
26	4	14361.136291773428	506.0	139.0	3637	30	Etoposide_B02
26	4	14361.136291773428	509.0	203.0	3627	30	Etoposide_B02
26	4	14361.136291773428	509.0	273.0	3087	30	Etoposide_B02
26	4	14361.136291773428	517.0	199.0	3808	30	Etoposide_B02
26	4	14361.136291773428	532.0	290.0	2941	30	Etoposide_B02
26	4	14361.136291773428	537.0	233.0	3022	30	Etoposide_B02
26	4	14361.136291773428	538.0	215.0	3547	30	Etoposide_B02
26	4	14361.136291773428	544.0	306.0	4479	30	Etoposide_B02
26	4	14361.136291773428	552.0	351.0	2837	30	Etoposide_B02
26	4	14361.136291773428	562.0	214.0	6268	30	Etoposide_B02
26	4	14361.136291773428	565.0	308.0	3805	30	Etoposide_B02
26	4	14361.136291773428	576.0	270.0	5322	30	Etoposide_B02
26	4	14361.136291773428	578.0	280.0	3274	30	Etoposide_B02
26	4	14361.136291773428	580.0	328.0	3068	30	Etoposide_B02
27	4	18637.070744288874	62.0	342.0	5007	16	Etoposide_B02
27	4	18637.070744288874	75.0	245.0	5309	16	Etoposide_B02
27	4	18637.070744288874	83.0	411.0	5828	16	Etoposide_B02
27	4	18637.070744288874	88.0	412.0	6493	16	Etoposide_B02
27	4	18637.070744288874	97.0	369.0	5222	16	Etoposide_B02
27	4	18637.070744288874	98.0	288.0	3719	16	Etoposide_B02
27	4	18637.070744288874	101.0	299.0	5763	16	Etoposide_B02
27	4	18637.070744288874	105.0	308.0	7591	16	Etoposide_B02
27	4	18637.070744288874	116.0	220.0	6073	16	Etoposide_B02
27	4	18637.070744288874	118.0	284.0	3071	16	Etoposide_B02
27	4	18637.070744288874	125.0	410.0	4163	16	Etoposide_B02
27	4	18637.070744288874	126.0	271.0	3544	16	Etoposide_B02
27	4	18637.070744288874	133.0	241.0	3765	16	Etoposide_B02
27	4	18637.070744288874	134.0	285.0	3919	16	Etoposide_B02
27	4	18637.070744288874	155.0	253.0	2964	16	Etoposide_B02
27	4	18637.070744288874	181.0	346.0	6558	16	Etoposide_B02
28	4	19736.143859139942	181.0	346.0	6558	10	Etoposide_B02
28	4	19736.143859139942	219.0	419.0	5181	10	Etoposide_B02
28	4	19736.143859139942	229.0	323.0	2801	10	Etoposide_B02
28	4	19736.143859139942	238.0	462.0	4602	10	Etoposide_B02
28	4	19736.143859139942	248.0	346.0	3294	10	Etoposide_B02
28	4	19736.143859139942	248.0	432.0	8633	10	Etoposide_B02
28	4	19736.143859139942	251.0	443.0	3360	10	Etoposide_B02
28	4	19736.143859139942	254.0	484.0	3232	10	Etoposide_B02
28	4	19736.143859139942	269.0	444.0	3641	10	Etoposide_B02
28	4	19736.143859139942	271.0	435.0	3620	10	Etoposide_B02
29	4	14438.997272764278	216.0	730.0	3097	9	Etoposide_B02
29	4	14438.997272764278	240.0	656.0	4429	9	Etoposide_B02
29	4	14438.997272764278	263.0	747.0	2744	9	Etoposide_B02
29	4	14438.997272764278	285.0	638.0	3341	9	Etoposide_B02
29	4	14438.997272764278	297.0	616.0	2995	9	Etoposide_B02
29	4	14438.997272764278	313.0	716.0	4388	9	Etoposide_B02
29	4	14438.997272764278	315.0	670.0	2905	9	Etoposide_B02
29	4	14438.997272764278	355.0	671.0	3823	9	Etoposide_B02
29	4	14438.997272764278	359.0	706.0	3483	9	Etoposide_B02
30	4	12465.498718985977	646.0	743.0	2742	2	Etoposide_B02
30	4	12465.498718985977	713.0	731.0	3586	2	Etoposide_B02
31	4	16831.132489786654	445.0	721.0	3025	47	Etoposide_B02
31	4	16831.132489786654	447.0	699.0	6387	47	Etoposide_B02
31	4	16831.132489786654	455.0	747.0	4392	47	Etoposide_B02
31	4	16831.132489786654	457.0	722.0	3069	47	Etoposide_B02
31	4	16831.132489786654	461.0	767.0	4112	47	Etoposide_B02
31	4	16831.132489786654	464.0	706.0	4235	47	Etoposide_B02
31	4	16831.132489786654	469.0	765.0	7643	47	Etoposide_B02
31	4	16831.132489786654	470.0	715.0	5185	47	Etoposide_B02
31	4	16831.132489786654	473.0	702.0	3814	47	Etoposide_B02
