## ROI	Slice	Cy5	FociPerCell	FociPerCellNoise	Condition
1	1	13898.45179213422	2	2.0	Etoposide_B02
2	1	11230.356665219279	1	1.0	Etoposide_B02
3	1	19867.501706242	0	0.0	Etoposide_B02
4	1	28902.716759214727	2	2.0	Etoposide_B02
5	1	11648.581615651925	1	1.0	Etoposide_B02
6	1	25293.005406654345	0	0.0	Etoposide_B02
7	1	16279.957319784058	2	2.5	Etoposide_B02
8	2	15751.502254065368	2	1.5	Etoposide_B02
9	2	13300.071040144088	0	0.5	Etoposide_B02
10	2	16462.098068799034	0	0.5	Etoposide_B02
11	2	15058.849051598356	3	3.0	Etoposide_B02
12	2	14990.334574201104	2	2.5	Etoposide_B02
13	2	15492.670414923292	5	5.0	Etoposide_B02
14	2	15613.828522171438	1	1.0	Etoposide_B02
15	2	15778.23088267187	4	4.0	Etoposide_B02
16	2	15837.721711581335	2	2.5	Etoposide_B02
17	3	12581.760760456275	0	-0.5	Etoposide_B02
18	3	16203.805323999448	1	1.0	Etoposide_B02
19	3	18333.525210084033	15	15.5	Etoposide_B02
20	3	14826.87057941824	7	7.5	Etoposide_B02
21	3	14275.092446724064	0	0.5	Etoposide_B02
22	3	18521.92345743296	2	1.5	Etoposide_B02
23	3	18532.901922866422	24	24.0	Etoposide_B02
24	3	11419.340780956358	3	2.5	Etoposide_B02
25	4	20762.913262134825	4	4.5	Etoposide_B02
26	4	14361.136291773428	30	30.0	Etoposide_B02
27	4	18637.070744288874	16	15.5	Etoposide_B02
28	4	19736.143859139942	10	10.0	Etoposide_B02
29	4	14438.997272764278	9	9.5	Etoposide_B02
30	4	12465.498718985977	2	2.5	Etoposide_B02
31	4	16831.132489786654	47	46.5	Etoposide_B02
32	4	22278.493327034368	20	20.0	Etoposide_B02
33	5	18412.723310245998	1	0.5	Etoposide_B02
34	5	14010.776399106913	6	6.0	Etoposide_B02
35	5	22426.016562572288	35	35.0	Etoposide_B02
36	5	15490.964603337703	9	9.0	Etoposide_B02
37	5	18347.77251130355	11	11.5	Etoposide_B02
38	6	1172.8415195575133	6	5.5	Ctrl_B02
39	6	1233.009406354515	16	15.5	Ctrl_B02
40	6	1268.9227246502235	11	11.5	Ctrl_B02
41	6	1236.5358989657916	0	0.0	Ctrl_B02
42	6	1229.6260080994082	6	5.5	Ctrl_B02
